id,name,rarity,image_filename,sort_order
p1,Bulbasaur,common,p1.png,1000010
p10,Caterpie,common,p10.png,10000100
p100,Voltorb,common,p100.png,100001000
p1000,Gholdengo,rare,p1000.png,1000010000
p10001,Deoxys Attack,legendary,p10001.png,386100010
p10002,Deoxys Defense,legendary,p10002.png,386100020
p10003,Deoxys Speed,legendary,p10003.png,386100030
p10004,Wormadam Sandy,rare,p10004.png,413100040
p10005,Wormadam Trash,rare,p10005.png,413100050
p10006,Shaymin Sky,legendary,p10006.png,492100060
p10007,Giratina Origin,legendary,p10007.png,487100070
p10008,Rotom Heat,common,p10008.png,479100080
p10009,Rotom Wash,common,p10009.png,479100090
p1001,Wo Chien,legendary,p1001.png,1001010010
p10010,Rotom Frost,common,p10010.png,479100100
p10011,Rotom Fan,common,p10011.png,479100110
p10012,Rotom Mow,common,p10012.png,479100120
p10013,Castform Sunny,common,p10013.png,351100130
p10014,Castform Rainy,common,p10014.png,351100140
p10015,Castform Snowy,common,p10015.png,351100150
p10016,Basculin Blue Striped,common,p10016.png,550100160
p10017,Darmanitan Zen,rare,p10017.png,555100170
p10018,Meloetta Pirouette,legendary,p10018.png,648100180
p10019,Tornadus Therian,legendary,p10019.png,641100190
p1002,Chien Pao,legendary,p1002.png,1002010020
p10020,Thundurus Therian,legendary,p10020.png,642100200
p10021,Landorus Therian,legendary,p10021.png,645100210
p10022,Kyurem Black,legendary,p10022.png,646100220
p10023,Kyurem White,legendary,p10023.png,646100230
p10024,Keldeo Resolute,legendary,p10024.png,647100240
p10025,Meowstic Female,rare,p10025.png,678100250
p10026,Aegislash Blade,epic,p10026.png,681100260
p10027,Pumpkaboo Small,common,p10027.png,710100270
p10028,Pumpkaboo Large,common,p10028.png,710100280
p10029,Pumpkaboo Super,common,p10029.png,710100290
p1003,Ting Lu,legendary,p1003.png,1003010030
p10030,Gourgeist Small,rare,p10030.png,711100300
p10031,Gourgeist Large,rare,p10031.png,711100310
p10032,Gourgeist Super,rare,p10032.png,711100320
p10033,Venusaur Mega,epic,p10033.png,3100330
p10034,Charizard Mega X,epic,p10034.png,6100340
p10035,Charizard Mega Y,epic,p10035.png,6100350
p10036,Blastoise Mega,epic,p10036.png,9100360
p10037,Alakazam Mega,epic,p10037.png,65100370
p10038,Gengar Mega,epic,p10038.png,94100380
p10039,Kangaskhan Mega,rare,p10039.png,115100390
p1004,Chi Yu,legendary,p1004.png,1004010040
p10040,Pinsir Mega,rare,p10040.png,127100400
p10041,Gyarados Mega,rare,p10041.png,130100410
p10042,Aerodactyl Mega,rare,p10042.png,142100420
p10043,Mewtwo Mega X,legendary,p10043.png,150100430
p10044,Mewtwo Mega Y,legendary,p10044.png,150100440
p10045,Ampharos Mega,epic,p10045.png,181100450
p10046,Scizor Mega,rare,p10046.png,212100460
p10047,Heracross Mega,rare,p10047.png,214100470
p10048,Houndoom Mega,rare,p10048.png,229100480
p10049,Tyranitar Mega,epic,p10049.png,248100490
p1005,Roaring Moon,epic,p1005.png,1005010050
p10050,Blaziken Mega,epic,p10050.png,257100500
p10051,Gardevoir Mega,epic,p10051.png,282100510
p10052,Mawile Mega,rare,p10052.png,303100520
p10053,Aggron Mega,epic,p10053.png,306100530
p10054,Medicham Mega,rare,p10054.png,308100540
p10055,Manectric Mega,rare,p10055.png,310100550
p10056,Banette Mega,rare,p10056.png,354100560
p10057,Absol Mega,rare,p10057.png,359100570
p10058,Garchomp Mega,epic,p10058.png,445100580
p10059,Lucario Mega,rare,p10059.png,448100590
p1006,Iron Valiant,epic,p1006.png,1006010060
p10060,Abomasnow Mega,rare,p10060.png,460100600
p10061,Floette Eternal,rare,p10061.png,670100610
p10062,Latias Mega,legendary,p10062.png,380100620
p10063,Latios Mega,legendary,p10063.png,381100630
p10064,Swampert Mega,epic,p10064.png,260100640
p10065,Sceptile Mega,epic,p10065.png,254100650
p10066,Sableye Mega,rare,p10066.png,302100660
p10067,Altaria Mega,rare,p10067.png,334100670
p10068,Gallade Mega,epic,p10068.png,475100680
p10069,Audino Mega,rare,p10069.png,531100690
p1007,Koraidon,legendary,p1007.png,1007010070
p10070,Sharpedo Mega,rare,p10070.png,319100700
p10071,Slowbro Mega,rare,p10071.png,80100710
